📖 Configuration loaded from config.json
🤖 Initializing Model with layers: [3, 64, 64, 64, 64, 1]
🚀 Start Training Heston Model...
⚙️  Config: Epsilon=0.0 (Should be 0.0 for Baseline)
Epoch 12500 | Total: 0.000049 | PDE: 0.000012 | IC: 0.000033 | Mean W: 1.0000
Epoch 12600 | Total: 0.000043 | PDE: 0.000011 | IC: 0.000028 | Mean W: 1.0000
Epoch 12700 | Total: 0.000047 | PDE: 0.000012 | IC: 0.000031 | Mean W: 1.0000
Epoch 12800 | Total: 0.000053 | PDE: 0.000013 | IC: 0.000035 | Mean W: 1.0000
Epoch 12900 | Total: 0.000046 | PDE: 0.000012 | IC: 0.000032 | Mean W: 1.0000
Epoch 13000 | Total: 0.000048 | PDE: 0.000011 | IC: 0.000033 | Mean W: 1.0000
Epoch 13100 | Total: 0.000050 | PDE: 0.000012 | IC: 0.000035 | Mean W: 1.0000
Epoch 13200 | Total: 0.000045 | PDE: 0.000011 | IC: 0.000032 | Mean W: 1.0000
Epoch 13300 | Total: 0.000054 | PDE: 0.000012 | IC: 0.000033 | Mean W: 1.0000
Epoch 13400 | Total: 0.000045 | PDE: 0.000011 | IC: 0.000032 | Mean W: 1.0000
Epoch 13500 | Total: 0.000044 | PDE: 0.000011 | IC: 0.000032 | Mean W: 1.0000
Epoch 13600 | Total: 0.000043 | PDE: 0.000011 | IC: 0.000030 | Mean W: 1.0000
Epoch 13700 | Total: 0.000048 | PDE: 0.000011 | IC: 0.000035 | Mean W: 1.0000
Epoch 13800 | Total: 0.000045 | PDE: 0.000012 | IC: 0.000031 | Mean W: 1.0000
Epoch 13900 | Total: 0.000051 | PDE: 0.000012 | IC: 0.000030 | Mean W: 1.0000
Epoch 14000 | Total: 0.000043 | PDE: 0.000011 | IC: 0.000031 | Mean W: 1.0000
Epoch 14100 | Total: 0.000046 | PDE: 0.000012 | IC: 0.000033 | Mean W: 1.0000
Epoch 14200 | Total: 0.000050 | PDE: 0.000011 | IC: 0.000030 | Mean W: 1.0000
Epoch 14300 | Total: 0.000042 | PDE: 0.000011 | IC: 0.000029 | Mean W: 1.0000
Epoch 14400 | Total: 0.000045 | PDE: 0.000011 | IC: 0.000030 | Mean W: 1.0000
Epoch 14500 | Total: 0.000042 | PDE: 0.000011 | IC: 0.000030 | Mean W: 1.0000
Epoch 14600 | Total: 0.000046 | PDE: 0.000011 | IC: 0.000033 | Mean W: 1.0000
Epoch 14700 | Total: 0.000046 | PDE: 0.000011 | IC: 0.000033 | Mean W: 1.0000
Epoch 14800 | Total: 0.000044 | PDE: 0.000011 | IC: 0.000031 | Mean W: 1.0000
Epoch 14900 | Total: 0.000042 | PDE: 0.000011 | IC: 0.000030 | Mean W: 1.0000
Epoch 15000 | Total: 0.000044 | PDE: 0.000011 | IC: 0.000032 | Mean W: 1.0000
Epoch 15100 | Total: 0.000047 | PDE: 0.000011 | IC: 0.000030 | Mean W: 1.0000
Epoch 15200 | Total: 0.000044 | PDE: 0.000011 | IC: 0.000031 | Mean W: 1.0000
Epoch 15300 | Total: 0.000051 | PDE: 0.000011 | IC: 0.000033 | Mean W: 1.0000
Epoch 15400 | Total: 0.000042 | PDE: 0.000011 | IC: 0.000030 | Mean W: 1.0000
Epoch 15500 | Total: 0.000044 | PDE: 0.000011 | IC: 0.000032 | Mean W: 1.0000
Epoch 15600 | Total: 0.000042 | PDE: 0.000011 | IC: 0.000030 | Mean W: 1.0000
Epoch 15700 | Total: 0.000039 | PDE: 0.000010 | IC: 0.000028 | Mean W: 1.0000
Epoch 15800 | Total: 0.000044 | PDE: 0.000011 | IC: 0.000030 | Mean W: 1.0000
Epoch 15900 | Total: 0.000041 | PDE: 0.000011 | IC: 0.000028 | Mean W: 1.0000
Epoch 16000 | Total: 0.000040 | PDE: 0.000010 | IC: 0.000028 | Mean W: 1.0000
Epoch 16100 | Total: 0.000040 | PDE: 0.000011 | IC: 0.000027 | Mean W: 1.0000
Epoch 16200 | Total: 0.000042 | PDE: 0.000011 | IC: 0.000030 | Mean W: 1.0000
Epoch 16300 | Total: 0.000042 | PDE: 0.000010 | IC: 0.000032 | Mean W: 1.0000
Epoch 16400 | Total: 0.000047 | PDE: 0.000010 | IC: 0.000032 | Mean W: 1.0000
Epoch 16500 | Total: 0.000042 | PDE: 0.000011 | IC: 0.000031 | Mean W: 1.0000
